description	TRUE	dict+rule	Stanza	TJBatch	transformer-bert	spacy	ht-bert	fine-tuned-bert	whole-mask-bert
His statement gave no venue or precise date for the meeting .	[]	[]	[]	set()	[]	[]	[]	[]	[]
The United States has already called on the Kurdish factions to hold peace talks in London .	[]	[]	[]	['london']	[]	[]	[]	[]	[]
The KDP said Thursday night it had repelled an attack by thousands of PUK fighters , killing , wounding or capturing about 400 opposing guerrillas .	[]	[]	[]	set()	[]	[]	[]	[]	[]
The fighting has threatened a U.S.-led peace plan to unite the mountainous Kurdish region in northern Iraq against President Saddam Hussein .	['Saddam', 'Hussein']	[]	['Saddam Hussein']	set()	['Saddam', 'Hussein']	['saddam hussein']	['Saddam', 'Hussein']	['Saddam', 'Hussein']	['Saddam', 'saddam']
One teen left dead by attack on U.S. slumber party .	[]	[]	[]	set()	[]	[]	[]	[]	[]
CHESAPEAKE , Va .	[]	[]	[]	set()	[]	[]	[]	[]	[]
1996-08-23	[]	[]	[]	set()	[]	[]	[]	[]	[]
A knife-wielding neighbour apparently intent on sexual assault invaded a teenage slumber party on Friday , killing one girl and wounding three others , police said .	[]	[]	[]	set()	[]	[]	[]	[]	[]
At about 4 a.m. EDT ( 0800 GMT ) , a group of teenaged girls were having the overnight party in the Camelot subdivision of this eastern Virginia city , when a man entered the house , wielding a knife , threatening to sexually assault the girls .	[]	['virginia']	[]	set()	[]	[]	[]	[]	[]
Detective Richard Black of the Chesapeake Police Department , said a neighbour , Curtis Lee White II , 19 , was arrested in the attack , but had not been charged by late morning on Friday .	['Richard', 'Black', 'Curtis', 'Lee', 'White', 'II']	['lee']	['Richard Black', 'Curtis Lee White II']	set()	['Richard', 'Black', 'Curtis', 'Lee', 'White', 'II']	['richard black', 'curtis lee white ii']	['Curtis', 'White']	['Richard', 'Black', 'Curtis', 'Lee', 'White']	['Curtis', 'Richard', 'Lee', 'Black', 'richard', 'black', 'curtis', 'lee']
There were apparently no adults at the party as the father of the family who lived in the house was out of town and the mother died more than a year ago , Black said .	['Black']	[]	['Black']	set()	['Black']	['black']	[]	['Black']	['Black', 'black']
The detective said details were sketchy , but two of the teenagers were reportedly downstairs watching television when White allegedly entered the house and told the girls to take off their clothes .	['White']	[]	['White']	set()	['White']	['white']	[]	['White']	['White', 'white']
He said a male teenager sleeping upstairs reportedly heard the commotion and came downstairs and confronted White , who allegedly stabbed him more than once .	['White']	[]	['White']	set()	['White']	['white']	[]	['White']	['White', 'white']
The other teenagers also confronted the assailant and three girls , all under 18 , were stabbed , one fatally .	[]	[]	[]	set()	[]	[]	[]	[]	[]
""" At least two of them were sexually molested , "" Black said ."	['Black']	[]	['Black']	set()	['Black']	['black']	[]	['Black']	['Black', 'black']
He said all of the wounded teenagers were taken to a hospital but none of the injuries were considered life-threatening .	[]	[]	[]	set()	[]	[]	[]	[]	[]
Police said the girl who died was identified as Michelle Harper .	['Michelle', 'Harper']	['harper', 'michelle']	['Michelle Harper']	['michelle']	['Michelle', 'Harper']	['michelle harper']	['Michelle']	['Michelle', 'Harper']	['Michelle', 'michelle']
Her age was not given .	[]	[]	[]	set()	[]	[]	[]	[]	[]
Glickman says USDA monitoring aflatoxin in Texas .	['Glickman']	[]	[]	set()	['Glickman']	['glickman']	[]	['Glickman']	['Glickman', 'glickman']
WASHINGTON 1996-08-23	[]	[]	[]	set()	[]	[]	[]	[]	[]
Agriculture Secretary Dan Glickman said the department was monitoring reports of aflatoxin found in corn in parts of Texas .	['Dan', 'Glickman']	[]	['Dan Glickman']	['corn']	['Dan', 'Glickman']	['dan glickman']	['Dan', 'Glickman']	['Dan', 'Glickman']	['Dan', 'Glickman', 'dan', 'glickman']
""" We 're always concerned about aflatoxin but we 're on top of it , "" Glickman told reporters after addressing a USDA-sponsored farmers ' market ."	['Glickman']	[]	['Glickman']	set()	['Glickman']	['glickman']	[]	['Glickman']	['Glickman', 'glickman']
""" That 's a perennial problem ."	[]	[]	[]	set()	[]	[]	[]	[]	[]
"It may be a little more problematic because of cold , wet conditions but we 're on top of it , "" the secretary said ."	[]	[]	[]	['may']	[]	[]	[]	[]	[]
"Asked about reports Egypt has set new levels for a vomitoxin in its purchase of U.S. wheat , the secretary said "" I do n't know anything about it "" but added that USDA officials were "" looking at it . """	[]	[]	[]	set()	[]	[]	['Egypt']	[]	[]
Mass .	[]	[]	[]	set()	[]	[]	['Mass']	[]	[]
governor has trouble winning home support .	[]	[]	[]	set()	[]	[]	[]	[]	[]
BOSTON 1996-08-23	[]	[]	[]	set()	[]	[]	[]	[]	[]
The 12-year-old daughter of Republican Gov .	[]	[]	[]	set()	[]	[]	['Gov']	['Gov']	[]
William Weld is working to stop his bid to win a U.S. Senate seat because she does n't want to leave Massachusetts .	['William', 'Weld']	[]	['William Weld']	set()	['William', 'Weld']	['william weld']	['William', 'Weld', 'Massachusetts']	['William', 'Weld']	['Weld', 'William', 'william', 'weld']
"Weld conceded his 12-year-old daughter , Franny , is "" a foot soldier "" for Democratic incumbent Sen ."	['Weld', 'Franny']	['franny', 'sen']	['Weld', 'Franny', 'Sen']	set()	['Weldann', 'Franny']	['weld', 'franny']	['Franny']	['Franny', 'Sen']	['Franny', 'Weld', 'weld', 'franny']
John Kerry , even though she is n't old enough to vote .	['John', 'Kerry']	[]	['John Kerry']	set()	['John', 'Kerry']	['john kerry']	['John', 'Kerry']	['John', 'Kerry']	['John', 'john']
Weld , speaking on WBUR-FM radio on Thursday , said he was facing a revolt from his daughter in part because she does not want to leave Cambridge , Massachusetts , and move to Washington .	['Weld']	[]	['Weld']	set()	['Weld']	['weld']	[]	['Weld']	['Weld', 'weld']
He also said Franny Weld 's best friend , Tracy Roosevelt , might have something to do with her politics .	['Franny', 'Weld', 'Tracy', 'Roosevelt']	['franny', 'tracy']	"[""Franny Weld 's"", 'Tracy Roosevelt']"	['tracy']	['Franny', 'Weld', 'Tracy', 'Roosevelt']	"[""franny weld 's"", 'tracy roosevelt']"	['Franny', 'Weld']	['Weld', 'Tracy', 'Roosevelt']	['Franny', 'Weld', 'Tracy', 'franny', 'weld', 'tracy']
Tracy is the great-granddaughter of Democratic former President Franklin Roosevelt , and support for Democrats runs in the family .	['Tracy']	['tracy']	['Tracy', 'Franklin Roosevelt']	['tracy']	['Tracy']	['tracy', 'franklin roosevelt']	['Franklin']	['Tracy', 'Franklin', 'Roosevelt']	['Tracy', 'tracy', 'franklin']
The Roosevelts are good friends of Weld and his wife , Susan Roosevelt Weld , a descendant of former President Theodore Roosevelt , who won the presidency as a Republican .	['Roosevelts', 'Weld', 'Susan', 'Roosevelt', 'Weld', 'Theodore', 'Roosevelt']	['susan']	['Roosevelts', 'Weld', 'Susan Roosevelt Weld', 'Theodore Roosevelt']	['susan']	['Roosevelt', 'Weld', 'Susan', 'Roosevelt', 'Weld', 'Theodore', 'Roosevelt']	['roosevelts', 'weld', 'susan roosevelt weld', 'theodore roosevelt']	['Susan', 'Roosevelt', 'Weld', 'Theodore']	['Roosevelts', 'Weld', 'Susan', 'Roosevelt', 'Theodore', 'Roosevelt']	['Weld', 'Roosevelt', 'Susan', 'Theodore', 'weld', 'susan', 'roosevelt', 'weld', 'theodore']
Lufthansa cargo Q2 load factor up 1.7 pct .	[]	[]	[]	set()	[]	[]	[]	[]	[]
FRANKFURT 1996-08-23	[]	[]	[]	set()	[]	[]	[]	[]	[]
The following table shows Lufthansa Cargo AG second quarter 1996 results , based on figures published by Deutsche Lufthansa AG in-house newspaper	[]	[]	[]	set()	[]	[]	['Lufthansa', 'AG']	[]	[]
Lufthanseat .	[]	[]	[]	set()	[]	[]	['Lufthanseat']	[]	[]
Available freight-tonne kilometres ( million ) 2,389 up 4 pct	[]	[]	[]	set()	[]	[]	[]	[]	[]
Revenue freight-tonne kilometres ( million ) 1,600 up 7 pct	[]	[]	[]	set()	[]	[]	[]	[]	[]
Freight load factor 67.0 up 1.7 pct pts	[]	[]	[]	set()	[]	[]	[]	[]	[]
Revenue from transport ( Dm million ) 820 up 2 pct	[]	[]	[]	set()	[]	[]	[]	[]	[]
Revenue from other services ( Dm million ) 14 down 26 pct	[]	[]	[]	set()	[]	[]	[]	[]	[]
Staff costs ( Dm million ) 116 up 8 pct	[]	[]	[]	set()	[]	[]	[]	[]	[]
Fuel costs ( Dm million ) 69 up 20 pct	[]	[]	[]	set()	[]	[]	['Fuel']	[]	[]
Flight-related fees ( Dm million ) 125 up 17 pct	[]	[]	[]	set()	[]	[]	[]	[]	[]
- Air Cargo Newsroom Tel+44 171 542 7706 Fax+44 171 542 5017	[]	[]	[]	set()	[]	[]	[]	[]	[]
WSC-India Rice Weather , Aug 23 .	[]	[]	[]	set()	[]	[]	[]	[]	[]
SUMMARY- Showers 0.25-1.30 inch ( 6-33 mm ) and locally heavier through much of India , 75 percent coverage .	[]	[]	[]	set()	[]	[]	[]	[]	[]
Isolated showers 0.20-0.70 inch ( 5-18 mm ) in the north .	[]	[]	[]	set()	[]	[]	[]	[]	[]
Highs 82-96F ( 28-36C ) .	[]	[]	[]	set()	[]	[]	[]	[]	['high']
CROP IMPACT- Conditions remain favorable for the development of rice in the region .	[]	[]	[]	set()	[]	[]	[]	[]	[]
FORECAST-	[]	[]	[]	set()	[]	[]	[]	[]	[]
TODAY ...	[]	[]	[]	set()	[]	[]	[]	[]	[]
Showers and rain 0.25-1.00 inch ( 6-25 mm ) and locally heavier through most of central and south central India , up to 0.75 inch ( 19 mm ) in 75 percent of north central India , and only isolated up to 0.50 inch ( 13 mm ) elsewhere over India .	[]	[]	[]	['rain']	[]	[]	[]	[]	[]
Highs 82-96F ( 28-36C ) .	[]	[]	[]	set()	[]	[]	[]	[]	['high']
TONIGHT ...	[]	[]	[]	set()	[]	[]	[]	[]	[]
Variable clouds in southern India with showers .	[]	[]	[]	set()	[]	[]	[]	[]	[]
Partly cloudy in northern India with a few light showers .	[]	[]	[]	set()	[]	[]	[]	[]	[]
Lows 68-76F ( 20-24C ) .	[]	[]	[]	set()	[]	[]	[]	[]	['lows']
TOMORROW ...	[]	[]	[]	set()	[]	[]	[]	[]	[]
Little change from today 's weather expected .	['Little']	[]	[]	set()	[]	[]	[]	[]	[]
OUTLOOK ...	[]	[]	[]	set()	[]	[]	[]	[]	[]
Numerous to scattered showers and thunderstorms in southern and central India , and isolated showers to the north Sunday through Tuesday .	[]	[]	[]	set()	[]	[]	[]	[]	[]
Temperatures near normal .	[]	[]	[]	set()	[]	[]	[]	[]	[]
Source : Weather Services Corporation	[]	[]	[]	set()	[]	[]	[]	[]	[]
Washington to curb Tamil support in U.S. - Sri Lanka .	[]	['sri']	[]	['sri']	[]	[]	['Tamil', 'Sri', 'Lanka']	[]	[]
COLOMBO 1996-08-23	[]	[]	['COLOMBO']	set()	[]	[]	[]	[]	[]
Sri Lanka said on Friday the United States had promised to stamp out any illegal activities on U.S. soil directed against the island 's government .	[]	['sri']	[]	['sri']	[]	[]	['Sri', 'Lanka']	[]	[]
"The Sri Lankan foreign ministry said in a statement : "" The United States government sympathised with the current predicament Sri Lanka was facing . """	[]	['sri']	[]	['sri']	[]	[]	[]	[]	[]
"The statement said the U.S. government "" would do all within its prevailing legal framework to prevent the use of American soil to perpetrate violence against the democratic government of Sri Lanka "" ."	[]	['sri']	[]	['sri']	[]	[]	[]	[]	[]
It said the U.S. State Department 's coordinator for counter terrorism , Philip Wilcox , had expressed Washington 's support for the government when he visited Colombo this week .	['Philip', 'Wilcox']	[]	['Philip Wilcox']	set()	['Philip', 'Wilcox']	['philip wilcox']	['Philip', 'Wilcox']	['Philip', 'Wilcox']	['Philip', 'philip']
Colombo has said it believes Tamil rebels , fighting a 13-year war for independence against the government , finance their military activity through funds extorted from expatriate Sri Lankans in western countries such as the United States .	[]	['sri']	[]	['sri']	[]	[]	['Tamil']	[]	[]
U.S. embassy officials in Colombo were not immediately available to comment on the report .	[]	[]	[]	set()	[]	[]	[]	[]	[]
Colombo estimates more than 50,000 people have been killed in the war between government forces and the Liberation Tigers of Tamil Eelam rebels in the island 's north and east .	[]	[]	[]	set()	[]	[]	['Tamil', 'Eelam']	[]	[]
Nepal 's king leaves on week-long visit to China .	[]	[]	[]	['china']	[]	[]	[]	[]	[]
KATHMANDU 1996-08-23	[]	[]	['KATHMANDU']	set()	[]	[]	[]	[]	[]
King Birendra left Nepal on Friday for a week-long visit to China , his eighth since ascending the throne in 1972 , officials said .	['Birendra']	[]	['King Birendra']	['china']	['Birendra']	['birendra']	['Nepal']	['Birendra']	['Birendra', 'birendra']
The constitutional monarch , who last visited China in 1993 , was scheduled to meet Chinese President Jiang Zemin and Premier Li Peng during his visit , they said .	['Jiang', 'Zemin', 'Li', 'Peng']	[]	['Jiang Zemin', 'Li Peng']	['china', 'li']	['Jiang', 'Zemin', 'Li', 'Peng']	['jiang zemin', 'li peng']	['Jiang', 'Peng']	['Jiang', 'Zemin', 'Li', 'Peng']	['Zemin', 'Peng', 'Jiang', 'Li', 'jiang', 'zemin', 'li', 'peng']
Foreign ministry officials gave no details of the issues the king , who was accompanied by Foreign Minister Prakash Chandra Lohani , would discuss with Chinese leaders .	['Prakash', 'Chandra', 'Lohani']	['chandra']	['Prakash Chandra Lohani']	['chandra']	['Prakash', 'Chandra', 'Lohani']	['prakash chandra lohani']	['Prakash', 'Chandra', 'Lohani']	['Prakash', 'Chandra', 'Lohani']	['Prakash', 'Lohani', 'Chandra', 'prakash', 'chandra', 'lohani']
The Himalayan kingdom , sandwiched between China and India , has traditionally sought to maintain close cooperation with its giant neighbours , and an equal distance from the two .	[]	[]	[]	['china']	[]	[]	[]	[]	[]
The 50-year old monarch was accompanied by Queen Aishwarya on a flight to the Tibetan capital of Lhasa .	['Aishwarya']	['aishwarya']	['Queen Aishwarya']	set()	['Aishwarya']	['aishwarya']	['Queen']	['Aishwarya']	['Aishwarya', 'aishwarya']
The king will visit Chongqing before arriving in the Chinese capital , Beijing , early next week , officials said .	[]	[]	[]	set()	[]	[]	['Chongqing']	[]	[]
Nepal man held for keeping child servant in chains .	[]	[]	[]	set()	[]	[]	[]	[]	[]
KATHMANDU 1996-08-23	[]	[]	['KATHMANDU']	set()	[]	[]	[]	[]	[]
Nepali police said on Friday they arrested a man who allegedly kept a child servant bound in chains so that he would not run away when his employer was out to work .	[]	[]	[]	set()	[]	[]	[]	[]	[]
Madhusudan Munakarmi was arrested on Thursday after his neighbours informed police about the plight of 12-year old Dhiraj K.C. , who told police his employer used to tie him up with iron chains and locks concealed under his clothes .	['Madhusudan', 'Munakarmi', 'Dhiraj', 'K.C.']	[]	['Madhusudan Munakarmi', 'Dhiraj K.C.']	set()	['Madhusudan', 'Munakarmi', 'Dhiraj', 'K', 'C']	['madhusudan munakarmi', 'dhiraj k.c.']	['Madhusudan', 'Munakarmi', 'Dhiraj']	['Madhusudan', 'Munakarmi', 'Dhiraj', 'C']	['Munakarmi', 'Madhusudan', 'Dhiraj', 'madhusudan', 'munakarmi', 'dhiraj', 'k', '.']
The neighbours in Kathmandu called the police when they saw Dheeraj , employed by the man for the past nine months , limping because of the chains .	['Dheeraj']	[]	['Dheeraj']	set()	['Dheeraj']	['dheeraj']	['Dheeraj']	['Dheeraj']	['Dheeraj', 'dheeraj']
""" I feared he would flee from work or steal my belongings , "" the Kathmandu Post newspaper quoted Munakarmi as saying after his arrest ."	['Munakarmi']	[]	['Munakarmi']	set()	['Munakarmi']	['munakarmi']	['Munakarmi']	['Munakarmi']	['Munakarmi', 'munakarmi']
If convicted , he faces a maximum of three years in jail under Nepal 's child protection laws .	[]	[]	[]	set()	[]	[]	[]	[]	[]
OPTIONS - Euro debt vols seen regrouping after fall .	[]	[]	[]	set()	[]	[]	[]	[]	[]
LONDON 1996-08-23	[]	[]	[]	['london']	[]	[]	[]	[]	[]
Implied volatility of European bond and interest rate options should stabilise around current levels until early next week after falling before and after this week 's German-led cut in interest rates , traders said .	[]	[]	[]	set()	[]	[]	[]	[]	[]
""" Volatility has come off a lot ."	[]	[]	[]	set()	[]	[]	[]	[]	[]
"We 're looking for it to stabilise now , "" said one Euromark options trader at a U.S. bank ."	[]	[]	[]	set()	[]	[]	['Euromark']	[]	[]
A trader at a Japanese bank said Euromark volatility now stood at 14.00 for September contract , 16.75 for December , 19.50 for March and 21.25 for June .	[]	[]	[]	set()	[]	[]	['Euromark']	[]	[]
This compared with midweek levels , before the welter of interest rate cuts , of 18.50 for September , 20.00 for December , 22.00 for March and 23.5 for June , he said .	[]	[]	[]	set()	[]	[]	[]	[]	[]
At 1347 GMT , December Euromark futures were trading at 96.78 , two basis points down on the day .	[]	[]	[]	set()	[]	[]	['December', 'Euromark']	[]	[]
He said the sell-off in June vols might have been overdone , which could offer value at current levels .	[]	[]	[]	set()	[]	[]	[]	[]	[]
He said caps and floors would be well bid after the round of interest rate cuts due to the fact these rates should stay low at the short end .	[]	[]	[]	set()	[]	[]	[]	[]	[]
The size of the Bundesbank 's repo rate cut , to 3.00 percent from 3.30 percent , took markets by surprise .	[]	[]	[]	set()	[]	[]	[]	[]	[]
""" Volatility has a bid to it -- longer-dated volatility more than short-dated because the event people were buying for has passed and now perhaps people will sell some short dated vol and buy some long dated vol , "" he said ."	[]	[]	[]	set()	[]	[]	[]	[]	[]
""" Long dated volatility has been low this year , so it is still at levels which are not historically high ."	[]	[]	[]	set()	[]	[]	[]	[]	[]
""" It is not a dangerous level to own vol. You are not going to lose a lot and you could make quite a bit . """	[]	[]	[]	set()	[]	[]	[]	[]	[]
He said volatility levels should be stable until markets reassess the situation after a long weekend in Britain .	[]	['britain']	[]	set()	[]	[]	[]	[]	[]
Paribas Capital Markets OTC options specialist Robert Coughlan said that if volatility continued lower for the rest of Friday in over-the-counter 10-year Bunds , it should be higher next Tuesday .	['Robert', 'Coughlan']	[]	['Robert Coughlan']	set()	['Robert', 'Coughlan']	['robert coughlan']	['Markets', 'Robert', 'Coughlan']	['Robert', 'Coughlan']	['Coughlan', 'Robert', 'robert', 'coughlan']
He said the absence on holiday of many market makers was a main factor behind falls this week in volatility in high-yielding markets such as Italy , Spain and Sweden .	[]	[]	[]	set()	[]	[]	[]	[]	[]
Coughlan said the market had more downside than upside potential , but a fall was not likely to be of significant size .	['Coughlan']	[]	[]	set()	['Coughlan']	['coughlan']	['Coughlan']	['Coughlan']	['Coughlan', 'coughlan']
""" I recommend people sell strangles in a number of markets -- in Germany and France in particular ."	[]	[]	[]	set()	[]	[]	[]	[]	[]
""" With high-yielding markets Italy will be a lot more vulnerable in September on economic and political fronts , so I would use current the low level of vol to buy options ."	[]	[]	[]	set()	[]	[]	[]	[]	[]
""" So sell options on Bunds and France to enhance yield and buy options on Italy , "" Coughlan said .."	['Coughlan']	[]	['Coughlan']	set()	['Coughlan']	['coughlan']	['Coughlan']	['Coughlan']	['Coughlan', 'coughlan']
-- Stephen Nisbet , International Bonds +44 171 542 6320	['Stephen', 'Nisbet']	[]	[]	set()	['Stephen', 'Nisbet']	['-- stephen nisbet']	['Nisbet']	['Stephen', 'Nisbet']	['Nisbet', 'Stephen', 'stephen', 'nisbet']
Goldman Sachs sets warrants on Continental .	[]	[]	[]	set()	[]	[]	[]	[]	[]
LONDON 1996-08-23	[]	[]	[]	['london']	[]	[]	[]	[]	[]
Goldman Sachs & Co Wertpapier GmbH has issued a total of five million American-style call warrants , on Continental AG , lead manager Goldman Sachs & Co said .	[]	[]	[]	set()	[]	[]	['Co', 'GmbH']	[]	[]
One warrant controls one share .	[]	[]	[]	set()	[]	[]	['One']	[]	[]
STRIKE PRICE 25.00 DEM PREMIUM 10.12 PCT	[]	['dem']	[]	set()	[]	[]	[]	[]	[]
ISSUE PRICE 2.42 DEM GEARING 10.29 X	[]	['dem']	[]	set()	[]	[]	[]	[]	[]
EXERCISE PERIOD 02.SEP.96-21.NOV.97 PAYDATE 30.AUG.96	[]	[]	[]	set()	[]	[]	[]	[]	[]
LISTING DDF FFT STG MIN EXER LOT 100	[]	[]	[]	set()	[]	[]	[]	[]	[]
SPOT REFERENCE 24.90 DEM	[]	['dem']	[]	set()	[]	[]	[]	[]	[]
-- Reuter London Newsroom +44 171 542 7658	[]	[]	[]	['london']	[]	[]	[]	[]	['reuter']
Legal challenge to Diana delayed by jail term .	['Diana']	['diana']	['Diana']	['diana']	['Diana']	['diana']	[]	['Diana']	['Diana', 'diana']
LONDON 1996-08-23	[]	[]	[]	['london']	[]	[]	[]	[]	[]
A British photographer branded a stalker by Princess Diana has been forced to postpone a legal challenge to a ban on approaching her because he 's been jailed for criminal damage , his lawyer said on Friday .	['Diana']	['diana']	['Diana']	['princess', 'diana']	['Diana']	['princess diana']	['Diana']	['Diana']	['Diana', 'diana']
Martin Stenning started a 12-week jail sentence on Thursday just as he was preparing to contest an injunction obtained by Diana banning him from coming within 300 metres ( yards ) of her .	['Martin', 'Stenning', 'Diana']	['diana']	['Martin Stenning', 'Diana']	['diana']	['Martin', 'Stenning', 'Diana']	['martin stenning', 'diana']	['Martin', 'Stenning']	['Martin', 'Stenning', 'Diana']	['Martin', 'Stenning', 'martin', 'stenning']
""" We were in the process of preparing a detailed affidavit responding to the Princess 's affadavit and expected to go to court in the next couple of weeks , "" said Stenning 's lawyer , Benedict Birnberg . """	['Stenning', 'Benedict', 'Birnberg']	[]	['Princess', 'Stenning', 'Benedict Birnberg']	['princess']	['Stenning', 'Benedict', 'Birnberg']	['stenning', 'benedict birnberg']	[]	['Stenning', 'Benedict', 'Birnberg']	['Birnberg', 'Benedict', 'Stenning', 'stenning', 'benedict', 'birnberg']
"But everything has been put on ice now . """	[]	[]	[]	set()	[]	[]	[]	[]	[]
Birnberg told Reuters that the challenge to the injunction would be delayed until Stenning was released .	['Birnberg', 'Stenning']	[]	['Birnberg', 'Stenning']	set()	['Birnberg', 'Stenning']	['birnberg', 'stenning']	[]	['Birnberg']	['Birnberg', 'Stenning', 'birnberg', 'stenning']
Stenning threw a brick through the window of a van in February after an argument with a driver when he was working as a motorcycle dispatch rider .	['Stenning']	[]	['Stenning']	set()	['Stenning']	['stenning']	[]	['Stenning']	['Stenning', 'stenning']
Stenning , who has previous convictions , is expected to appeal against the sentence .	['Stenning']	[]	['Stenning']	set()	['Stenning']	['stenning']	[]	['Stenning']	['Stenning', 'stenning']
Magistrates also ordered him to pay compensation of 182 pounds ( $ 282 ) .	[]	[]	[]	set()	[]	[]	[]	[]	[]
The freelance photographer was branded a stalker by Diana , whose divorce from heir-to-the-throne Prince Charles is due to become final next week , after persistently trailing her on his motorcycle .	['Diana', 'Charles']	['diana']	['Diana', 'Prince Charles']	['diana']	['Diana', 'Charles']	['diana', 'prince charles']	[]	['Diana', 'Charles']	['Diana', 'diana']
In an affidavit , the princess said that in chasing her Stenning had got so close that he twice smashed into her car and pushed her when she tried to remove the film from his camera .	['Stenning']	[]	['Stenning']	['princess']	['Stenning']	['stenning']	[]	['Stenning']	['st']
Stenning has rejected Diana 's claims and said he was being made a scapegoat to scare off press photographers .	['Stenning', 'Diana']	['diana']	['Stenning', 'Diana']	['diana']	['Stenning', 'Diana']	['stenning', 'diana']	[]	['Diana']	['Stenning', 'stenning']
Jordan expels Iraqi diplomat .	[]	['jordan']	['Jordan']	['jordan']	[]	[]	[]	[]	[]
AMMAN 1996-08-23	[]	[]	['AMMAN']	set()	[]	[]	[]	[]	[]
Jordan has asked an Iraqi diplomat to leave the kingdom for carrying out duties incompatible with diplomatic norms , an official source said on Friday .	[]	['jordan']	['Jordan']	['jordan']	[]	[]	[]	[]	[]
The move came after Amman blamed Iraq and a pro-Baghdad local political party for last week 's worst unrest in seven years after a government decision to double prices of bread .	[]	[]	[]	set()	[]	[]	['Amman']	[]	['amman']
The government declined comment .	[]	[]	[]	set()	[]	[]	[]	[]	[]
""" Jordan has asked Mr. Adel Ibrahim , the Iraqi embassy 's press attache , to leave because he was carrying out duties incompatible with diplomatic norms , "" the source told Reuters ."	['Adel', 'Ibrahim']	['adel', 'jordan']	['Adel Ibrahim']	['jordan']	['Adel', 'Ibrahim']	['adel ibrahim']	['Jordan', 'Mr', 'Adel', 'Ibrahim']	['Adel', 'Ibrahim']	['Adel', 'adel']
He said Ibrahim was still in Amman .	['Ibrahim']	[]	['Ibrahim']	set()	['Ibrahim']	['ibrahim']	['Ibrahim']	['Ibrahim']	['Ibrahim', 'ibrahim']
The Jordanian Arab Socialist Baath Party has denied involvement in unrest which it blamed on government policies and rising economic hardship .	[]	[]	[]	set()	[]	[]	['Baath', 'Party']	[]	[]
The riots , which shook Jordan for two days , broke out after last Friday 's main prayers in the southern town of Karak and spread to Amman .	[]	['jordan']	[]	['jordan']	[]	[]	['Jordan']	[]	[]
Kurd rebels to free Turkish soldier prisoners .	[]	[]	[]	set()	[]	[]	['Kurd']	[]	[]
DOHUK , Iraq 1996-08-23	[]	[]	[]	set()	[]	[]	[]	[]	[]
Turkish Kurd guerrillas said on Friday they would free seven Turkish soldiers they hold in northern Iraq under a tentative Islamist peace bid .	[]	[]	[]	set()	[]	[]	[]	[]	[]
""" ...For the sake of safety we are asking for their family members or the authorities to come and pick them up , "" Kurdistan Workers Party ( PKK ) central committee member Riza Altun told journalists near the Iraqi city of Dohuk ."	['Riza', 'Altun']	[]	['Riza Altun']	set()	['Rizaun', 'Altun']	['riza altun']	[]	['Riza', 'Altun']	['Altun', 'Riza', 'riza', 'altun']
PKK guerrillas would accompany the soldiers , captured last spring in one of Turkey 's frequent cross-border drives , until they could be handed over , he said .	[]	[]	[]	set()	[]	[]	[]	[]	[]
Their release has been negotiated by Islamist writer Ismail Nacar as part of a wider effort , partly backed by Prime Minister Necmettin Erbakan , to find a political solution to Turkey 's Kurdish problem .	['Ismail', 'Nacar', 'Necmettin', 'Erbakan']	[]	['Ismail Nacar', 'Necmettin Erbakan']	set()	['Ismail', 'Nacarec', 'Necmettin', 'Erbakan']	['ismail nacar', 'necmettin erbakan']	['Nacar', 'Necmettin']	['Ismail', 'Nacar', 'Necmettin', 'Erbakan']	['Erbakan', 'Necmettin', 'Ismail', 'Nacar', 'ismail', 'nacar', 'necmettin', 'erbakan']
Erbakan has encouraged Nacar 's bid but has ruled out direct talks with the rebels .	['Erbakan', 'Nacar']	[]	['Erbakan', 'Nacar']	set()	['Erbakan', 'Nacar']	['nacar']	['Nacar']	['Erbakan', 'Nacar']	['Nacar', 'Erbakan', 'erbakan', 'nacar']
The PKK often uses bases in northern Iraq in its fight for autonomy or independence in southeast Turkey .	[]	[]	[]	set()	[]	[]	[]	[]	[]
More than 20,000 people have died in 12 years of fighting between the guerrillas and Turkish forces .	[]	[]	[]	set()	[]	[]	[]	[]	[]
SOLIDERE shares mixed on market .	[]	[]	[]	set()	[]	[]	[]	[]	[]
BEIRUT 1996-08-23	[]	[]	[]	set()	[]	[]	[]	[]	[]
SOLIDERE shares were mixed on Friday on the privately-operated Beirut Secondary Market ( BSM ) .	[]	[]	[]	set()	[]	[]	[]	[]	[]
A shares -- distributed to former holders of property rights in the Beirut central district SOLIDERE is rebuilding -- closed at $ 104.625 unchanged from Thursday .	[]	[]	[]	set()	[]	[]	[]	[]	[]
B shares -- issued in a $ 650-million subscription in January 1994 -- rose to $ 106.5 from $ 106.375 a day earlier .	[]	[]	[]	['rose']	[]	[]	[]	[]	[]
Turnover on BSM , which trades only SOLIDERE shares , was 8,049 shares from Thursday 's 8,757 and value was $ 850,968 from $ 918,288 .	[]	[]	[]	set()	[]	[]	[]	[]	[]
On the official Beirut Stock Exchange , only 1,185 Ciments Libanais shares were traded at $ 1.1875 compared with 2,036 shares traded on Thursday at the same price .	[]	[]	[]	set()	[]	[]	[]	[]	[]
There was no trade in any of the three other listed companies : Ciments Blancs , Eternit and Uniceramic .	[]	[]	[]	set()	[]	[]	[]	[]	[]
