description	true_names
( Netherlands ) 15-11 18-14 	[]
Wijaya Indra ( Indonesia ) beat 5/8 - Pang Chen ( Malaysia ) 15-6 	['Wijaya', 'Indra', 'Pang', 'Chen']
6-15 15-7 	[]
3/4 - Hu Zhilan ( China ) beat Nunung Subandoro ( Indonesia ) 5-15 	['Hu', 'Zhilan', 'Nunung', 'Subandoro']
18-15 15-6 	[]
9/16 - Hermawan Susanto ( Indonesia ) beat 1 - Fung Permadi ( Taiwan ) 	['Hermawan', 'Susanto', 'Fung', 'Permadi']
15-8 15-12 	[]
Women 's singles 2nd round 	[]
1 - Wang Chen ( China ) beat Cindana ( Indonesia ) 11-3 1ama ( Japan ) beat Margit Borg ( Sweden ) 11-6 11-6 	['Wang', 'Chen', 'Cindana', '1ama', 'Margit', 'Borg']
Sun Jian ( China ) beat Marina Andrievskaqya ( Sweden ) 11-8 11-2 	['Sun', 'Jian', 'Marina', 'Andrievskaqya']
5/8 - Meluawati ( Indonesia ) beat Chan Chia Fong ( Malaysia ) 11-6 	['Meluawati', 'Chan', 'Chia', 'Fong']
11-1 	[]
Gong Zhichao ( China ) beat Liu Lufung ( China ) 6-11 11-7 11-3 	['Gong', 'Zhichao', 'Liu', 'Lufung']
Zeng Yaqiong ( China ) beat Li Feng ( New Zealand ) 11-9 11-6 	['Zeng', 'Yaqiong', 'Li', 'Feng']
5/8 - Christine Magnusson ( Sweden ) beat Ishwari Boopathy 	['Christine', 'Magnusson', 'Ishwari', 'Boopathy']
( Malaysia ) 11-1 10-12 11-4 	[]
2 - Zhang Ning ( China ) beat Olivia ( Indonesia ) 11-8 11-6 	['Zhang', 'Ning', 'Olivia']
TENNIS - REVISED MEN 'S DRAW FOR U.S. OPEN . 	[]
NEW YORK 1996-08-22 	[]
Revised singles draw for the 	[]
U.S. Open tennis championships beginning Monday at the U.S . 	[]
National Tennis Centre ( prefix denotes seeding ) : 	[]
Men 's Draw 	[]
1 - Pete Sampras ( U.S. ) vs. Adrian Voinea ( Romania ) 	['Pete', 'Sampras', 'Adrian', 'Voinea']
Jiri Novak ( Czech Republic ) vs. qualifier 	['Jiri', 'Novak']
Magnus Larsson ( Sweden ) vs. Alexander Volkov ( Russia ) 	['Magnus', 'Larsson', 'Alexander', 'Volkov']
Mikael Tillstrom ( Sweden ) vs qualifier 	['Mikael', 'Tillstrom']
Qualifier vs. Andrei Olhovskiy ( Russia ) 	['Andrei', 'Olhovskiy']
Mark Woodforde ( Australia ) vs. Mark Philippoussis ( Australia ) 	['Mark', 'Woodforde', 'Mark', 'Philippoussis']
Roberto Carretero ( Spain ) vs. Jordi Burillo ( Spain ) 	['Roberto', 'Carretero', 'Jordi', 'Burillo']
Francisco Clavet ( Spain ) vs. 16 - Cedric Pioline ( France ) 	['Francisco', 'Clavet', 'Cedric', 'Pioline']
------------------------ 	[]
9 - Wayne Ferreira ( South Africa ) vs. qualifier 	['Wayne', 'Ferreira']
Karol Kucera ( Slovakia ) vs. Jonas Bjorkman ( Sweden ) 	['Karol', 'Kucera', 'Jonas', 'Bjorkman']
Qualifier vs. Christian Rudd ( Norway ) 	['Christian', 'Rudd']
Alex Corretja ( Spain ) vs. Byron Black ( Zimbabwe ) 	['Alex', 'Corretja', 'Byron', 'Black']
David Rikl ( Czech Republic ) vs. Hicham Arazi ( Morocco ) 	['David', 'Rikl', 'Hicham', 'Arazi']
Sjeng Schalken ( Netherlands ) vs. Gilbert Schaller ( Austria ) 	['Sjeng', 'Schalken', 'Gilbert', 'Schaller']
Grant Stafford ( South Africa ) vs. Guy Forget ( France ) 	['Grant', 'Stafford', 'Guy', 'Forget']
Fernando Meligeni ( Brazil ) vs. 7 - Yevgeny Kafelnikov ( Russia ) 	['Fernando', 'Meligeni', 'Yevgeny', 'Kafelnikov']
------------------------ 	[]
4 - Goran Ivanisevic ( Croatia ) vs. Andrei Chesnokov ( Russia ) 	['Goran', 'Ivanisevic', 'Andrei', 'Chesnokov']
Scott Draper ( Australia ) vs. Galo Blanco ( Spain ) 	['Scott', 'Draper', 'Galo', 'Blanco']
Renzo Furlan ( Italy ) vs. Thomas Johansson ( Sweden ) 	['Renzo', 'Furlan', 'Thomas', 'Johansson']
Hendrik Dreekman ( Germany ) vs. Greg Rusedski ( Britain ) 	['Hendrik', 'Dreekman', 'Greg', 'Rusedski']
Andrei Medvedev ( Ukraine ) vs. Jean-Philippe Fleurian ( France ) 	['Andrei', 'Medvedev', 'Jean-Philippe', 'Fleurian']
Jan Kroslak ( Slovakia ) vs. Chris Woodruff ( U.S. ) 	['Jan', 'Kroslak', 'Chris', 'Woodruff']
Qualifier vs. Petr Korda ( Czech Republic ) 	['Petr', 'Korda']
Bohdan Ulihrach ( Czech Republic ) vs. 14 - Alberto Costa 	['Bohdan', 'Ulihrach', 'Alberto', 'Costa']
( Spain ) 	[]
------------------------ 	[]
12 - Todd Martin ( U.S. ) vs. Younnes El Aynaoui ( Morocco ) 	['Todd', 'Martin', 'Younnes', 'El', 'Aynaoui']
Andrea Gaudenzi ( Italy ) vs. Shuzo Matsuoka ( Japan ) 	['Andrea', 'Gaudenzi', 'Shuzo', 'Matsuoka']
Doug Flach ( U.S. ) vs. qualifier 	['Doug', 'Flach']
Mats Wilander ( Sweden ) vs. Tim Henman ( Britain ) 	['Mats', 'Wilander', 'Tim', 'Henman']
Paul Haarhuis ( Netherlands ) vs. Michael Joyce ( U.S. ) 	['Paul', 'Haarhuis', 'Michael', 'Joyce']
Michael Tebbutt ( Australia ) vs. Richey Reneberg ( U.S. ) 	['Michael', 'Tebbutt', 'Richey', 'Reneberg']
Jonathan Stark ( U.S. ) vs. Bernd Karbacher ( Germany ) 	['Jonathan', 'Stark', 'Bernd', 'Karbacher']
Stefan Edberg ( Sweden ) vs. 5 - Richard Krajicek ( Netherlands ) 	['Stefan', 'Edberg', 'Richard', 'Krajicek']
------------------------ 	[]
6 - Andre Agassi ( U.S. ) vs. Mauricio Hadad ( Colombia ) 	['Andre', 'Agassi', 'Mauricio', 'Hadad']
Marcos Ondruska ( South Africa ) vs. Felix Mantilla ( Spain ) 	['Marcos', 'Ondruska', 'Felix', 'Mantilla']
Carlos Moya ( Spain ) vs. Scott Humphries ( U.S. ) 	['Carlos', 'Moya', 'Scott', 'Humphries']
Jan Siemerink ( Netherlands ) vs. Carl-Uwe Steeb ( Germany ) 	['Jan', 'Siemerink', 'Carl-Uwe', 'Steeb']
Qualifier vs. qualifier 	[]
David Wheaton ( U.S. ) vs. Kevin Kim ( U.S. ) 	['David', 'Wheaton', 'Kevin', 'Kim']
Nicolas Lapentti ( Ecuador ) vs. Alex O'Brien ( U.S. ) 	"['Nicolas', 'Lapentti', 'Alex', ""O'Brien""]"
Karim Alami ( Morocco ) vs. 11 - MaliVai Washington ( U.S. ) 	['Karim', 'Alami', 'MaliVai', 'Washington']
------------------------ 	[]
13 - Thomas Enqvist ( Sweden ) vs. Stephane Simian ( France ) 	['Thomas', 'Enqvist', 'Stephane', 'Simian']
Guillaume Raoux ( France ) vs. Filip Dewulf ( Belgium ) 	['Guillaume', 'Raoux', 'Filip', 'Dewulf']
Mark Knowles ( Bahamas ) vs. Marcelo Filippini ( Uruguay ) 	['Mark', 'Knowles', 'Marcelo', 'Filippini']
Todd Woodbridge ( Australia ) vs. qualifier 	['Todd', 'Woodbridge']
Kris Goossens ( Belgium ) vs. Sergi Bruguera ( Spain ) 	['Kris', 'Goossens', 'Sergi', 'Bruguera']
Qualifier vs. Michael Stich ( Germany ) 	['Michael', 'Stich']
Qualifier vs. Chuck Adams ( U.S. ) 	['Chuck', 'Adams']
Javier Frana ( Argentina ) vs. 3 - Thomas Muster ( Austria ) 	['Javier', 'Frana', 'Thomas', 'Muster']
------------------------ 	[]
8 - Jim Courier ( U.S. ) vs. Javier Sanchez ( Spain ) 	['Jim', 'Courier', 'Javier', 'Sanchez']
Jim Grabb ( U.S. ) vs. Sandon Stolle ( Australia ) 	['Jim', 'Grabb', 'Sandon', 'Stolle']
Patrick Rafter ( Australia ) vs. Kenneth Carlsen ( Denmark ) 	['Patrick', 'Rafter', 'Kenneth', 'Carlsen']
Jason Stoltenberg ( Australia ) vs. Stefano Pescosolido ( Italy ) 	['Jason', 'Stoltenberg', 'Stefano', 'Pescosolido']
Arnaud Boetsch ( France ) vs. Nicolas Pereira ( Venezuela ) 	['Arnaud', 'Boetsch', 'Nicolas', 'Pereira']
Carlos Costa ( Spain ) vs. Magnus Gustafsson ( Sweden ) 	['Carlos', 'Costa', 'Magnus', 'Gustafsson']
Jeff Tarango ( U.S. ) vs. Alex Radulescu ( Germany ) 	['Jeff', 'Tarango', 'Alex', 'Radulescu']
Qualifier vs. 10 - Marcelo Rios ( Chile ) 	['Marcelo', 'Rios']
------------------------ 	[]
15 - Marc Rosset ( Switzerland vs. Jared Palmer ( U.S. ) 	['Marc', 'Rosset', 'Jared', 'Palmer']
Martin Damm ( Czech Republic ) vs. Hernan Gumy ( Argentina ) 	['Martin', 'Damm', 'Hernan', 'Gumy']
Nicklas Kulti ( Sweden ) vs. Jakob Hlasek ( Switzerland ) 	['Nicklas', 'Kulti', 'Jakob', 'Hlasek']
Cecil Mamiit ( U.S. ) vs. Alberto Berasategui ( Spain ) 	['Cecil', 'Mamiit', 'Alberto', 'Berasategui']
Vince Spadea ( U.S. ) vs. Daniel Vacek ( Czech Republic ) 	['Vince', 'Spadea', 'Daniel', 'Vacek']
David Prinosil ( Germany ) vs. qualifier 	['David', 'Prinosil']
Qualifier vs. Tomas Carbonell ( Spain ) 	['Tomas', 'Carbonell']
Qualifier vs. 2 - Michael Chang ( U.S. ) 	['Michael', 'Chang']
BASEBALL - ORIOLES ' MANAGER DAVEY JOHNSON HOSPITALIZED . 	['DAVEY', 'JOHNSON']
BALTIMORE 1996-08-22 	[]
Baltimore Orioles manager Davey Johnson will miss Thursday night 's game against the Seattle Mariners after being admitted to a hospital with an irregular heartbeat . 	['Davey', 'Johnson']
The 53-year-old Johnson was hospitalized after experiencing dizziness . 	['Johnson']
""" He is in no danger and will be treated and observed this evening "" said Orioles team physician Dr. William Goldiner adding that Johnson is expected to be released on Friday . "	['William', 'Goldiner', 'Johnson']
Orioles ' bench coach Andy Etchebarren will manage the club in Johnson 's absence . 	['Andy', 'Etchebarren', 'Johnson']
Johnson is the second manager to be hospitalized this week after California Angels skipper John McNamara was admitted to New York 's Columbia Presbyterian Hospital on Wednesday with a blood clot in his left calf . 	['Johnson', 'John', 'McNamara']
Johnson who played eight seasons in Baltimore was named Orioles manager in the off-season replacing Phil Regan . 	['Johnson', 'Phil', 'Regan']
He led the Cincinnati Reds to the National League Championship Series last year and guided the New York Mets to a World Series championship in 1986 . 	[]
Baltimore has won 16 of its last 22 games to pull within five games of the slumping New York Yankees in the American League East Division . 	[]
BASEBALL - MAJOR LEAGUE STANDINGS AFTER WEDNESDAY 'S GAMES . 	[]
NEW YORK 1996-08-22 	[]
Major League Baseball 	[]
standings after games played on Wednesday ( tabulate under won 	[]
lost winning percentage and games behind ) : 	[]
AMERICAN LEAGUE 	[]
EASTERN DIVISION 	[]
W L PCT GB 	[]
NEW YORK 72 53 .576 - 	[]
BALTIMORE 67 58 .536 5 	[]
BOSTON 63 64 .496 10 	[]
TORONTO 58 69 .457 15 	[]
DETROIT 44 82 .349 28 1/2 	[]
CENTRAL DIVISION 	[]
CLEVELAND 76 51 .598 - 	[]
CHICAGO 69 59 .539 7 1/2 	[]
MINNESOTA 63 63 .500 12 1/2 	[]
MILWAUKEE 60 68 .469 16 1/2 	[]
KANSAS CITY 58 70 .453 18 1/2 	[]
WESTERN DIVISION 	[]
TEXAS 73 54 .575 - 	[]
SEATTLE 64 61 .512 8 	[]
OAKLAND 62 67 .481 12 	[]
CALIFORNIA 58 68 .460 14 1/2 	[]
THURSDAY AUGUST 22 SCHEDULE 	[]
OAKLAND AT BOSTON 	[]
SEATTLE AT BALTIMORE 	[]
CALIFORNIA AT NEW YORK 	[]
TORONTO AT CHICAGO 	[]
DETROIT AT KANSAS CITY 	[]
TEXAS AT MINNESOTA 	[]
NATIONAL LEAGUE 	[]
EASTERN DIVISION 	[]
W L PCT GB 	[]
ATLANTA 79 46 .632 - 	[]
MONTREAL 67 58 .536 12 	[]
NEW YORK 59 69 .461 21 1/2 	[]
FLORIDA 58 69 .457 22 	[]
PHILADELPHIA 52 75 .409 28 	[]
CENTRAL DIVISION 	[]
HOUSTON 68 59 .535 - 	[]
ST LOUIS 67 59 .532 1/2 	[]
CHICAGO 63 62 .504 4 	[]
CINCINNATI 62 62 .500 4 1/2 	[]
PITTSBURGH 53 73 .421 14 1/2 	[]
WESTERN DIVISION 	[]
SAN DIEGO 70 59 .543 - 	[]
LOS ANGELES 66 60 .524 2 1/2 	[]
COLORADO 65 62 .512 4 	[]
SAN FRANCISCO 54 70 .435 13 1/2 	[]
THURSDAY AUGUST 22 SCHEDULE 	[]
ST LOUIS AT COLORADO 	[]
CINCINNATI AT ATLANTA 	[]
PITTSBURGH AT HOUSTON 	[]
PHILADELPHIA AT LOS ANGELES 	[]
MONTREAL AT SAN FRANCISCO 	[]
BASEBALL - MAJOR LEAGUE RESULTS WEDNESDAY . 	[]
NEW YORK 1996-08-22 	[]
Results of Major League 	[]
Baseball games played on Wednesday ( home team in CAPS ) : 	[]
American League 	[]
California 7 NEW YORK 1 	[]
DETROIT 7 Chicago 4 	[]
Milwaukee 10 MINNESOTA 7 	[]
BOSTON 6 Oakland 4 	[]
BALTIMORE 10 Seattle 5 	[]
Texas 10 CLEVELAND 8 ( in 10 ) 	[]
Toronto 6 KANSAS CITY 2 	[]
National League 	[]
CHICAGO 8 Florida 3 	[]
SAN FRANCISCO 12 New York 11 	[]
ATLANTA 4 Cincinnati 3 	[]
Pittsburgh 5 HOUSTON 2 	[]
COLORADO 10 St Louis 2 	[]
Philadelphia 6 LOS ANGELES 0 	[]
SAN DIEGO 7 Montreal 2 	[]
BASEBALL - GREER HOMER IN 10TH LIFTS TEXAS PAST INDIANS . 	['GREER']
CLEVELAND 1996-08-22 	[]
Rusty Greer 's two-run homer in the top of the 10th inning rallied the Texas Rangers to a 10-8 victory over the Cleveland Indians Wednesday in the rubber game of a three-game series between division leaders . 	['Rusty', 'Greer']
With one out Greer hit a 1-1 pitch from Julian Tavarez ( 4-7 ) over the right-field fence for his 15th home run . 	['Greer', 'Julian', 'Tavarez']
""" It was an off-speed pitch and I just tried to get a good swing on it and put it in play "" Greer said . "" "	['Greer']
This was a big game . 	[]
"The crowd was behind him and it was intense . "" "	[]
The shot brought home Ivan Rodriguez who had his second double of the game giving him 42 this season 41 as a catcher . 	['Ivan', 'Rodriguez']
He joined Mickey Cochrane Johnny Bench and Terry Kennedy as the only catchers with 40 doubles in a season . 	['Mickey', 'Cochrane', 'Johnny', 'Bench', 'Terry', 'Kennedy']
The Rangers have won 10 of their last 12 games and six of nine meetings against the Indians this season . 	[]
The American League Western leaders have won eight of 15 games at Jacobs Field joining the Yankees as the only teams with a winning record at the A.L. Central leaders ' home . 	[]
Cleveland lost for just the second time in six games . 	[]
The Indians sent the game into extra innings in the ninth on Kenny Lofton 's two-run single . 	['Kenny', 'Lofton']
Ed Vosberg ( 1-0 ) blew his first save opportunity but got the win allowing three hits with two walks and three strikeouts in 1 2/3 scoreless innings . 	['Ed', 'Vosberg']
Dean Palmer hit his 30th homer for the Rangers . 	['Dean', 'Palmer']
In Baltimore Cal Ripken had four hits and snapped a fifth-inning tie with a solo homer and Bobby Bonilla added a three-run shot in the seventh to power the surging Orioles to a 10-5 victory over the Seattle Mariners . 	['Cal', 'Ripken', 'Bobby', 'Bonilla']
The Mariners scored four runs in the top of the fifth to tie the game 5-5 but Ripken led off the bottom of the inning with his 21st homer off starter Sterling Hitchcock ( 12-6 ) . 	['Ripken', 'Sterling', 'Hitchcock']
Bonilla 's blast was the first time Randy Johnson last season 's Cy Young winner allowed a run in five relief appearances since coming off the disabled list on August 6 . 	['Bonilla', 'Randy', 'Johnson', 'Cy', 'Young']
Bonilla has 21 RBI and 15 runs in his last 20 games . 	['Bonilla']
Baltimore has won seven of nine and 16 of its last 22 and cut the Yankees ' lead in the A.L. East to five games . 	[]
Scott Erickson ( 8-10 ) laboured to his third straight win . 	['Scott', 'Erickson']
Alex Rodriguez had two homers and four RBI for the Mariners who have dropped three in a row and 11 of 15 . 	['Alex', 'Rodriguez']
He became the fifth shortstop in major-league history to hit 30 homers in a season and the first since Ripken hit 34 in 1991 . 	['Ripken']
Chris Hoiles hit his 22nd homer for Baltimore . 	['Chris', 'Hoiles']
In New York Jason Dickson scattered 10 hits over 6 1/3 innings in his major-league debut and Chili Davis belted a homer from each side of the plate as the California Angels defeated the Yankees 7-1 . 	['Jason', 'Dickson', 'Chili', 'Davis']
Dickson allowed a homer to Derek Jeter on his first major-league pitch but settled down . 	['Dickson', 'Derek', 'Jeter']
He was the 27th pitcher used by the Angels this season tying a major-league record . 	[]
Jimmy Key ( 9-10 ) took the loss as the Yankees lost their ninth in 14 games . 	['Jimmy', 'Key']
They stranded 11 baserunners . 	[]
California played without interim manager John McNamara who was admitted to a New York hospital with a blood clot in his right calf . 	['John', 'McNamara']
In Boston Mike Stanley 's bases-loaded two-run single snapped an eighth-inning tie and gave the Red Sox their third straight win 6-4 over the Oakland Athletics . 	['Mike', 'Stanley']
Stanley owns a .367 career batting average with the bases loaded ( 33-for-90 ) . 	['Stanley']
Boston 's Mo Vaughn went 3-for-3 with a walk stole home for one of his three runs scored and collected his 116th RBI . 	['Mo', 'Vaughn']
Scott Brosius homered and drove in two runs for the Athletics who have lost seven of their last nine games . 	['Scott', 'Brosius']
In Detroit Brad Ausmus 's three-run homer capped a four-run eighth and lifted the Tigers to a 7-4 victory over the reeling Chicago White Sox . 	['Brad', 'Ausmus']
The Tigers have won consecutive games after dropping eight in a row but have won nine of their last 12 at home . 	[]
The White Sox have lost six of their last eight games . 	[]
In Kansas City Juan Guzman tossed a complete-game six-hitter to win for the first time in over a month and lower his league-best ERA as the Toronto Blue Jays won their fourth straight 6-2 over the Royals . 	['Juan', 'Guzman']
Guzman ( 10-8 ) won for the first time since July 16 a span of six starts . 	['Guzman']
He allowed two runs -- one earned -- and lowered his ERA to 2.99 . 	[]
At Minnesota John Jaha 's three-run homer his 26th capped a five-run eighth inning that rallied the Milwaukee Brewers to a 10-7 victory over the Twins . 	['John', 'Jaha']
Jaha added an RBI single in the ninth and had four RBI . 	['Jaha']
Jose Valentin hit his 21st homer for Milwaukee . 	['Jose', 'Valentin']
SOCCER - COCU DOUBLE EARNS PSV 4-1 WIN . 	['COCU']
AMSTERDAM 1996-08-22 	[]
Philip Cocu scored twice in the second half to spur PSV Eindhoven to a 4-1 away win over NEC Nijmegen in the Dutch first division on Thursday . 	['Philip', 'Cocu']
He scored from close range in the 54th minute and from a bicycle kick 13 minutes later . 	[]
Arthur Numan and Luc Nilis Dutch top scorer last season were PSV 's other marksmen . 	['Arthur', 'Numan', 'Luc', 'Nilis']
Ajax Amsterdam opened their title defence with a 1-0 win over NAC Breda on Wednesday . 	[]
SOCCER - DUTCH FIRST DIVISION SUMMARY . 	[]
AMSTERDAM 1996-08-22 	[]
Summary of Thursday 's only 	[]
Dutch first division match : 	[]
NEC Nijmegen 1 ( Van Eykeren 15th ) PSV Eindhoven 4 ( Numan 11th 	[]
Nilis 42nd Cocu 54th 67th ) . 	['Nilis', 'Cocu']
Halftime 1-2 . 	[]
Attendance 	[]
SOCCER - DUTCH FIRST DIVISION RESULT . 	[]
AMSTERDAM 1996-08-22 	[]
Result of a Dutch first 	[]
division match on Thursday : 	[]
NEC Nijmegen 1 PSV Eindhoven 4 	[]
SOCCER - SHARPSHOOTER KNUP BACK IN SWISS SQUAD . 	['KNUP']
GENEVA 1996-08-22 	[]
Galatasaray striker Adrian Knup scorer of 26 goals in 45 internationals has been recalled by Switzerland for the World Cup qualifier against Azerbaijan in Baku on August 31 . 	['Adrian', 'Knup']
Knup was overlooked by Artur Jorge for the European championship finals earlier this year . 	['Knup', 'Artur', 'Jorge']
But new coach Rolf Fringer is clearly a Knup fan and included him in his 19-man squad on Thursday . 	['Rolf', 'Fringer', 'Knup']
Switzerland failed to progress beyond the opening group phase in Euro 96 . 	[]
Squad : 	[]
Goalkeepers - Marco Pascolo ( Cagliari ) Pascal Zuberbuehler ( Grasshoppers ) . 	['Marco', 'Pascolo', 'Pascal', 'Zuberbuehler']
Defenders - Stephane Henchoz ( Hamburg ) Marc Hottiger ( Everton ) Yvan Quentin ( Sion ) Ramon Vega ( Cagliari ) Raphael Wicky ( Sion ) . 	['Stephane', 'Henchoz', 'Marc', 'Hottiger', 'Yvan', 'Quentin', 'Ramon', 'Vega', 'Raphael', 'Wicky']
Midfielders - Alexandre Comisetti ( Grasshoppers ) Antonio Esposito ( Grasshoppers ) Sebastien Fournier ( Stuttgart ) Christophe Ohrel ( Lausanne ) Patrick Sylvestre ( Sion ) David Sesa ( Servette ) Ciriaco Sforza ( Inter Milan ) Murat Yakin ( Grasshoppers ) . 	['Alexandre', 'Comisetti', 'Antonio', 'Esposito', 'Sebastien', 'Fournier', 'Christophe', 'Ohrel', 'Patrick', 'Sylvestre', 'David', 'Sesa', 'Ciriaco', 'Sforza', 'Murat', 'Yakin']
Strikers - Kubilay Turkyilmaz ( Grasshoppers ) Adrian Knup ( Galatasaray ) Christophe Bonvin ( Sion ) Stephane Chapuisat ( Borussia Dortmund ) . 	['Kubilay', 'Turkyilmaz', 'Adrian', 'Knup', 'Christophe', 'Bonvin', 'Stephane', 'Chapuisat']
ATHLETICS - IT 'S A RECORD - BEERS ON THE HOUSE . 	[]
BRUSSELS 1996-08-22 	[]
Spectators at Friday 's Brussels grand prix meeting have an extra incentive to cheer on the athletes to world record performances -- a free glass of beer . 	[]
A Belgian brewery has offered to pay for a free round of drinks for all of the crowd if a world record goes at the meeting organisers said on Thursday . 	[]
It could be one of the most expensive rounds of drinks ever . 	[]
The meeting is sold out already . 	[]
Two world records are in serious danger of being broken at the meeting -- the women 's metres and the men 's metres . 	[]
GOLF - GERMAN OPEN FIRST ROUND SCORES . 	[]
STUTTGART Germany 1996-08-22 	[]
Leading first round 	[]
scores in the German Open golf championship on Thursday ( Britain 	[]
unless stated ) : 	[]
62 Paul Broadhurst 	['Paul', 'Broadhurst']
63 Raymond Russell 	['Raymond', 'Russell']
64 David J. Russell Michael Campbell ( New Zealand ) Ian 	['David', 'J.', 'Russell', 'Michael', 'Campbell', 'Ian']
Woosnam Bernhard Langer ( Germany ) Ronan Rafferty Mats 	['Woosnam', 'Bernhard', 'Langer', 'Ronan', 'Rafferty', 'Mats']
Lanner ( Sweden ) Wayne Riley ( Australia ) 	['Lanner', 'Wayne', 'Riley']
65 Eamonn Darcy ( Ireland ) Per Nyman ( Sweden ) Russell Claydon 	['Eamonn', 'Darcy', 'Per', 'Nyman', 'Russell', 'Claydon']
Mark Roe Retief Goosen ( South Africa ) Carl Suneson 	['Mark', 'Roe', 'Retief', 'Goosen', 'Carl', 'Suneson']
66 Stephen Field Paul Lawrie Ian Pyman Max Anglert 	['Stephen', 'Field', 'Paul', 'Lawrie', 'Ian', 'Pyman', 'Max', 'Anglert']
( Sweden ) Miles Tunnicliff Christian Cevaer ( France ) 	['Miles', 'Tunnicliff', 'Christian', 'Cevaer']
Des Smyth ( Ireland ) David Carter Lee Westwood Greg 	['Des', 'Smyth', 'David', 'Carter', 'Lee', 'Westwood', 'Greg']
Chalmers ( Australia ) Miguel Angel Martin ( Spain ) 	['Chalmers', 'Miguel', 'Angel', 'Martin']
Thomas Bjorn ( Denmark ) Fernando Roca ( Spain ) Derrick 	['Thomas', 'Bjorn', 'Fernando', 'Roca', 'Derrick']
Cooper 	['Cooper']
67 Jeff Hawksworth Padraig Harrington ( Ireland ) Michael 	['Jeff', 'Hawksworth', 'Padraig', 'Harrington', 'Michael']
Welch Thomas Gogele ( Germany ) Paul McGinley ( Ireland ) 	['Welch', 'Thomas', 'Gogele', 'Paul', 'McGinley']
Gary Orr Jose-Maria Canizares ( Spain ) Michael Jonzon 	['Gary', 'Orr', 'Jose-Maria', 'Canizares', 'Michael', 'Jonzon']
( Sweden ) Paul Eales David Williams Andrew Coltart 	['Paul', 'Eales', 'David', 'Williams', 'Andrew', 'Coltart']
Jonathan Lomas Jose Rivero ( Spain ) Robert Karlsson 	['Jonathan', 'Lomas', 'Jose', 'Rivero', 'Robert', 'Karlsson']
( Sweden ) Marcus Wills Pedro Linhart ( Spain ) Jamie 	['Marcus', 'Wills', 'Pedro', 'Linhart', 'Jamie']
Spence Terry Price ( Australia ) Juan Carlos Pinero ( Spain ) 	['Spence', 'Terry', 'Price', 'Juan', 'Carlos', 'Pinero']
Mark Mouland 	['Mark', 'Mouland']
SOCCER - UEFA REWARDS THREE COUNTRIES FOR FAIR PLAY . 	[]
GENEVA 1996-08-22 	[]
Norway England and Sweden were rewarded for their fair play on Thursday with an additional place in the 1997-98 UEFA Cup competition . 	[]
Norway headed the UEFA Fair Play rankings for 1995-96 with 8.62 points ahead of England with 8.61 and Sweden 8.57 . 	[]
The rankings are based on a formula that takes into account many factors including red and yellow cards and coaching and spectators ' behaviour at matches played at an international level by clubs and national teams . 	[]
Only the top three countries are allocated additional places . 	[]
The UEFA Fair Play rankings are : 1 . 	[]
Norway 8.62 points 	[]
2. England 8.61 	[]
3. Sweden 8.57 	[]
4. Faroe Islands 8.56 	[]
5. Wales 8.54 	[]
6. Estonia 8.52 	[]
7. Ireland 8.45 	[]
8. Belarus 8.39 	[]
9. Iceland 8.35 	[]
10. Netherlands 8.30 	[]
10. Denmark 8.30 	[]
10. Germany 8.30 	[]
13. Scotland 8.29 	[]
13. Latvia 8.29 	[]
15. Moldova 8.24 	[]
16. Yugoslavia 8.22 	[]
16. Belgium 8.22 	[]
18. Luxembourg 8.20 	[]
19. France 8.18 	[]
20. Israel 8.17 	[]
21. Switzerland 8.15 	[]
21. Slovakia 8.15 	[]
23. Poland 8.12 	[]
23. Portugal 8.12 	[]
25. Georgia 8.10 	[]
26. Ukraine 8.09 	[]
26. Spain 8.09 	[]
26. Finland 8.09 	[]
29. Macedonia 8.07 	[]
30. Lithuania 8.06 	[]
31. Austria 8.05 	[]
32. Russia 8.03 	[]
33. Romania 8.02 	[]
33. Turkey 8.02 	[]
35. Hungary 7.98 	[]
36. Czech Republic 7.95 	[]
37. Greece 7.89 	[]
37. Northern Ireland 7.89 	[]
39. Italy 7.85 	[]
40. Cyprus 7.83 	[]
41. Armenia 7.80 	[]
42. Slovenia 7.77 	[]
43. Croatia 7.75 	[]
44. Bulgaria 7.73 	[]
45. Malta 7.40 	[]
CRICKET - POLICE COMMANDOS ON HAND FOR AUSTRALIANS ' FIRST MATCH . 	[]
COLOMBO 1996-08-22 	[]
Armed police commandos patrolled the ground when Australia opened their short tour of Sri Lanka with a five-run win over the country 's youth team on Thursday . 	[]
Australia in Sri Lanka for a limited overs tournament which also includes India and Zimbabwe have been promised the presence of commandos sniffer dogs and plainclothes policemen to ensure the tournament is trouble-free . 	[]
They are making their first visit to the island since boycotting a World Cup fixture in February because of fears over ethnic violence . 	[]
Australia batting first in Thursday 's the warm-up match scored 251 for seven from their 50 overs . 	[]
Ricky Ponting led the way with 100 off 119 balls with two sixes and nine fours before retiring . 	['Ricky', 'Ponting']
The youth side replied with 246 for seven . 	[]
Australian coach Geoff Marsh said he was impressed with the competitiveness of the opposition . 	['Geoff', 'Marsh']
""" We were made to sweat to win "" he said . "	[]
ONE ROMANIAN DIES IN BUS CRASH IN BULGARIA . 	[]
SOFIA 1996-08-22 	[]
One Romanian passenger was killed and 14 others were injured on Thursday when a Romanian-registered bus collided with a Bulgarian one in northern Bulgaria police said . 	[]
