Peter I-PER
boat 0
ran 0
out 0
of 0
fuel 0
and 0
did 0
not 0
have 0
a 0
radio 0
to 0
call 0
for 0
help 0
Navy 0
spokesman 0
Lt. 0
Italo I-PER
Pineda I-PER
said 0
. 0

He 0
said 0
11 0
passengers 0
and 0
one 0
boatman 0
survived 0
on 0
coconuts 0
and 0
rainwater 0
during 0
65 0
hours 0
lost 0
at 0
sea 0
. 0

The 0
boat 0
was 0
towed 0
to 0
the 0
port 0
city 0
of 0
Buenaventura 0
. 0

Argentine 0
July 0
raw 0
steel 0
output 0
up 0
14.8 0
pct 0
vs 0
' 0
95 0
. 0

BUENOS 0
AIRES 0
1996-08-22 0

Argentine 0
raw 0
steel 0
output 0
was 0
tonnes 0
in 0
July 0
14.8 0
percent 0
higher 0
than 0
in 0
July 0
1995 0
and 0
up 0
1.9 0
percent 0
from 0
June 0
Steel 0
Industry 0
Center 0
said 0
Thursday 0
. 0

Primary 0
iron 0
output 0
was 0
tonnes 0
14.5 0
percent 0
more 0
than 0
last 0
July 0
and 0
0.1 0
percent 0
more 0
than 0
in 0
June 0
. 0

Hot 0
laminate 0
production 0
was 0
tonnes 0
3.2 0
percent 0
up 0
from 0
July 0
1995 0
and 0
0.8 0
percent 0
up 0
from 0
June 0
. 0

Production 0
of 0
cold 0
laminates 0
was 0
tonnes 0
4.2 0
percent 0
higher 0
than 0
the 0
same 0
month 0
last 0
year 0
and 0
11 0
percent 0
higher 0
than 0
in 0
June 0
. 0

-- 0
Jason I-PER
Webb I-PER
Buenos 0
Aires 0
Newsroom 0
+541 0
318-0655 0

Peru 0
's 0
guerrillas 0
kill 0
one 0
take 0
8 0
hostage 0
in 0
jungle 0
. 0

LIMA 0
Peru 0
1996-08-21 0

Peruvian 0
guerrillas 0
killed 0
one 0
man 0
and 0
took 0
eight 0
people 0
hostage 0
after 0
taking 0
over 0
a 0
village 0
in 0
the 0
country 0
's 0
northeastern 0
jungle 0
region 0
anti- 0
terrorist 0
police 0
sources 0
said 0
on 0
Wednesday 0
. 0

For 0
three 0
hours 0
on 0
Tuesday 0
around 0
100 0
members 0
of 0
the 0
Maoist 0
rebel 0
group 0
Shining 0
Path 0
took 0
control 0
of 0
Alomella 0
Robles 0
a 0
small 0
village 0
about 0
345 0
miles 0
( 0
550 0
km 0
) 0
northeast 0
of 0
Lima 0
the 0
sources 0
said 0
. 0

Some 0
guerrillas 0
made 0
villagers 0
listen 0
to 0
propaganda 0
speeches 0
in 0
the 0
village 0
centre 0
others 0
forced 0
passing 0
motorists 0
out 0
of 0
their 0
cars 0
and 0
daubed 0
their 0
vehicles 0
with 0
slogans 0
. 0

By 0
Wednesday 0
the 0
whereabouts 0
of 0
the 0
eight 0
hostages 0
was 0
still 0
not 0
known 0
the 0
sources 0
said 0
. 0

In 0
recent 0
months 0
the 0
Shining 0
Path 0
severely 0
weakened 0
since 0
the 0
1992 0
capture 0
of 0
its 0
leader 0
Abimael I-PER
Guzman I-PER
has 0
been 0
stepping 0
up 0
both 0
its 0
military 0
and 0
propaganda 0
activities 0
. 0

Peru 0
's 0
guerrilla 0
conflicts 0
have 0
cost 0
at 0
least 0
lives 0
and 0
$ 0
25 0
billion 0
in 0
damage 0
to 0
infrastructure 0
since 0
1980 0
. 0

Former 0
Surinam 0
rebel 0
leader 0
held 0
after 0
shooting 0
. 0

PARAMARIBO 0
Surinam 0
1996-08-21 0

Flamboyant 0
former 0
Surinamese 0
rebel 0
leader 0
Ronny I-PER
Brunswijk I-PER
was 0
in 0
custody 0
on 0
Wednesday 0
charged 0
with 0
attempted 0
murder 0
police 0
said 0
. 0

Brunswijk I-PER
turned 0
himself 0
into 0
police 0
after 0
Freddy I-PER
Pinas I-PER
a 0
Surinamese-born 0
visitor 0
from 0
the 0
Netherlands 0
accused 0
Brunswijk I-PER
of 0
trying 0
to 0
kill 0
him 0
on 0
Sunday 0
after 0
a 0
bar-room 0
brawl 0
in 0
the 0
small 0
mining 0
town 0
of 0
Moengo 0
about 0
56 0
miles 0
( 0
90 0
km 0
) 0
east 0
of 0
Paramaribo 0
said 0
police 0
spokesman 0
Ro I-PER
Gajadhar I-PER
. 0

Pinas I-PER
showing 0
cuts 0
and 0
bruises 0
on 0
his 0
face 0
told 0
reporters 0
the 0
former 0
head 0
of 0
the 0
feared 0
Jungle 0
Command 0
had 0
tried 0
and 0
failed 0
to 0
shoot 0
him 0
after 0
Pinas I-PER
objected 0
to 0
Brunswijk I-PER
's 0
advances 0
toward 0
his 0
wife 0
. 0

Pinas I-PER
said 0
Brunswijk I-PER
then 0
ordered 0
his 0
bodyguards 0
to 0
beat 0
him 0
up 0
. 0

Brunswijk I-PER
35 0
denied 0
the 0
charges 0
and 0
said 0
he 0
had 0
merely 0
defended 0
himself 0
when 0
Pinas I-PER
attacked 0
him 0
with 0
a 0
bottle 0
. 0

It 0
was 0
the 0
second 0
time 0
Brunswijk I-PER
had 0
been 0
charged 0
with 0
attempted 0
murder 0
in 0
less 0
than 0
two 0
years 0
. 0

In 0
1994 0
he 0
served 0
two 0
months 0
in 0
prison 0
for 0
shooting 0
a 0
thief 0
in 0
the 0
buttocks 0
. 0

Brunswijk I-PER
led 0
a 0
rebel 0
group 0
of 0
about 0
in 0
a 0
1986 0
uprising 0
against 0
the 0
regime 0
of 0
military 0
strongman 0
Desi I-PER
Bouterse I-PER
. 0

The 0
conflict 0
which 0
killed 0
more 0
than 0
500 0
and 0
caused 0
thousands 0
to 0
flee 0
to 0
neighbouring 0
French 0
Guiana 0
in 0
the 0
late 0
1980s 0
eventually 0
paved 0
the 0
way 0
to 0
democratic 0
elections 0
in 0
1991 0
. 0

Despite 0
numerous 0
problems 0
with 0
authorities 0
Brunswijk I-PER
went 0
on 0
to 0
become 0
a 0
successful 0
businessman 0
with 0
mining 0
and 0
logging 0
interests 0
. 0

He 0
also 0
manages 0
and 0
occasionally 0
plays 0
for 0
one 0
of 0
the 0
leading 0
local 0
soccer 0
teams 0
. 0

Noisy 0
saw 0
leads 0
Thai 0
police 0
to 0
heroin 0
hideaway 0
. 0

BANGKOK 0
1996-08-22 0

A 0
Hong 0
Kong 0
carpenter 0
was 0
arrested 0
in 0
the 0
Thai 0
seaside 0
town 0
of 0
Pattaya 0
after 0
police 0
seized 0
18 0
kg 0
( 0
39.7 0
pounds 0
) 0
of 0
heroin 0
following 0
complaints 0
by 0
residents 0
of 0
a 0
noisy 0
saw 0
police 0
said 0
on 0
Thursday 0
. 0

Cheung I-PER
Siu I-PER
Man I-PER
40 0
was 0
arrested 0
late 0
on 0
Wednesday 0
after 0
police 0
searched 0
a 0
house 0
and 0
found 0
heroin 0
in 0
bags 0
and 0
hidden 0
in 0
hollow 0
spaces 0
in 0
wooden 0
planks 0
police 0
said 0
. 0

The 0
suspect 0
said 0
he 0
was 0
hired 0
to 0
make 0
a 0
wooden 0
box 0
from 0
the 0
planks 0
in 0
order 0
to 0
hide 0
the 0
heroin 0
. 0

Police 0
went 0
to 0
the 0
house 0
after 0
receiving 0
complaints 0
of 0
sawing 0
during 0
the 0
night 0
over 0
the 0
course 0
of 0
several 0
days 0
. 0

When 0
they 0
arrived 0
to 0
investigate 0
police 0
saw 0
people 0
escaping 0
from 0
the 0
back 0
door 0
so 0
they 0
decided 0
to 0
search 0
the 0
house 0
. 0

The 0
seized 0
heroin 0
has 0
an 0
estimated 0
street 0
value 0
of 0
about 0
300 0
million 0
baht 0
( 0
$ 0
12 0
million 0
) 0
police 0
said 0
. 0

Officials 0
are 0
now 0
hunting 0
for 0
the 0
suspect 0
's 0
collaborators 0
police 0
said 0
. 0

Cheung I-PER
was 0
being 0
detained 0
pending 0
formal 0
charges 0
police 0
said 0
. 0

Australia 0
foreign 0
minister 0
arrives 0
in 0
China 0
. 0

BEIJING 0
1996-08-22 0

Australian 0
Foreign 0
Minister 0
Alexander I-PER
Downer I-PER
arrived 0
in 0
Beijing 0
on 0
Thursday 0
for 0
a 0
four-day 0
visit 0
that 0
follows 0
rising 0
friction 0
between 0
the 0
two 0
nations 0
in 0
recent 0
weeks 0
. 0

Downer I-PER
was 0
to 0
meet 0
Chinese 0
Foreign 0
Minister 0
Qian I-PER
Qichen I-PER
and 0
sign 0
an 0
agreement 0
on 0
an 0
Australian 0
consulate 0
in 0
Hong 0
Kong 0
an 0
official 0
of 0
the 0
Australian 0
embassy 0
in 0
Beijing 0
said 0
. 0

China 0
will 0
resume 0
sovereignty 0
over 0
Hong 0
Kong 0
a 0
British 0
colony 0
in 0
mid-1997 0
. 0

Relations 0
between 0
China 0
and 0
Australia 0
have 0
been 0
strained 0
in 0
recent 0
weeks 0
because 0
of 0
Australia 0
's 0
plan 0
to 0
sell 0
uranium 0
to 0
China 0
's 0
rival 0
Taiwan 0
. 0

Other 0
issues 0
affecting 0
ties 0
include 0
plans 0
by 0
an 0
Australian 0
cabinet 0
minister 0
to 0
visit 0
Taiwan 0
a 0
security 0
pact 0
between 0
Canberra 0
and 0
Washington 0
and 0
a 0
possible 0
visit 0
to 0
Australia 0
next 0
month 0
by 0
Tibet 0
's 0
exiled 0
spiritual 0
leader 0
the 0
Dalai I-PER
Lama I-PER
. 0

Downer I-PER
is 0
the 0
first 0
Australian 0
minister 0
to 0
visit 0
China 0
since 0
the 0
new 0
conservative 0
government 0
took 0
office 0
in 0
Canberra 0
in 0
March 0
. 0

Palestinians 0
accuse 0
PA 0
of 0
banning 0
books 0
. 0

NABLUS 0
West 0
Bank 0
1996-08-22 0

A 0
West 0
Bank 0
bookseller 0
charged 0
on 0
Thursday 0
that 0
the 0
Palestinian 0
Information 0
Ministry 0
has 0
forced 0
him 0
to 0
sign 0
an 0
undertaking 0
not 0
to 0
distribute 0
books 0
written 0
by 0
critics 0
of 0
Israeli-PLO 0
self-rule 0
deals 0
. 0

" 0
They 0
made 0
me 0
sign 0
an 0
undertaking 0
not 0
to 0
sell 0
the 0
books 0
to 0
anyone 0
at 0
the 0
risk 0
of 0
legal 0
action 0
. 0

One 0
official 0
told 0
me 0
' 0
you 0
have 0
to 0
either 0
destroy 0
the 0
books 0
or 0
return 0
them 0
to 0
Amman 0
' 0
" 0
Daoud I-PER
Makkawi I-PER
owner 0
of 0
the 0
Nablus-based 0
al-Risala 0
bookshop 0
told 0
Reuters 0
. 0

He 0
said 0
ministry 0
officials 0
made 0
him 0
sign 0
this 0
a 0
few 0
weeks 0
ago 0
after 0
he 0
brought 0
about 0
a 0
dozen 0
copies 0
from 0
Jordan 0
of 0
a 0
book 0
by 0
Edward I-PER
Said I-PER
a 0
prominent 0
scholar 0
at 0
New 0
York 0
City 0
's 0
Columbia 0
University 0
. 0

Said I-PER
a 0
U.S. 0
citizen 0
of 0
Palestinian 0
origin 0
has 0
been 0
an 0
outspoken 0
critic 0
of 0
the 0
1993 0
Israeli-PLO 0
self-rule 0
deal 0
and 0
has 0
written 0
at 0
least 0
two 0
books 0
on 0
the 0
accord 0
. 0

On 0
Wednesday 0
a 0
bookseller 0
in 0
the 0
West 0
Bank 0
town 0
of 0
Ramallah 0
said 0
police 0
about 0
a 0
month 0
ago 0
confiscated 0
several 0
copies 0
of 0
two 0
of 0
Said I-PER
's 0
books 0
on 0
the 0
Israel-PLO 0
self-rule 0
deals 0
. 0

Palestinian 0
Information 0
Ministry 0
Director-General 0
Mutawakel I-PER
Taha I-PER
denied 0
that 0
ministry 0
officials 0
forced 0
anyone 0
to 0
sign 0
any 0
undertaking 0
and 0
insisted 0
that 0
the 0
Palestinian 0
Authority 0
has 0
no 0
plans 0
to 0
censor 0
books 0
. 0

" 0
There 0
is 0
no 0
strategy 0
to 0
ban 0
books 0
or 0
to 0
suppress 0
freedom 0
of 0
expression 0
in 0
any 0
form 0
whatsoever 0
" 0
Taha I-PER
told 0
Reuters 0
. 0

But 0
Taha I-PER
said 0
that 0
the 0
absence 0
of 0
relevent 0
legislations 0
may 0
have 0
resulted 0
in 0
some 0
mistakes 0
by 0
some 0
security 0
officials 0
. 0

" 0
This 0
may 0
explain 0
some 0
mistakes 0
against 0
some 0
journalists 0
and 0
writers 0
" 0
he 0
said 0
. 0

Daoud I-PER
said 0
books 0
by 0
other 0
authors 0
including 0
British 0
Journalist 0
Patrick I-PER
Seale I-PER
were 0
also 0
banned 0
. 0

He 0
said 0
that 0
security 0
officials 0
often 0
visit 0
his 0
shop 0
to 0
make 0
sure 0
he 0
was 0
not 0
selling 0
the 0
books 0
. 0

" 0
I 0
think 0
this 0
is 0
a 0
bad 0
beginning 0
. 0

If 0
we 0
have 0
confidence 0
why 0
should 0
we 0
be 0
afraid 0
of 0
the 0
other 0
opinion 0
? 0
" 0

Daoud I-PER
said 0
. 0

Thousands 0
of 0
books 0
were 0
banned 0
from 0
sale 0
in 0
the 0
West 0
Bank 0
and 0
Gaza 0
Strip 0
by 0
the 0
Israeli 0
military 0
authorities 0
before 0
the 0
Jewish 0
state 0
handed 0
over 0
parts 0
of 0
the 0
two 0
areas 0
to 0
the 0
PLO 0
under 0
a 0
self-rule 0
deal 0
in 0
1994 0
. 0

Egypt 0
blames 0
Istanbul 0
control 0
tower 0
for 0
accident 0
. 0

CAIRO 0
1996-08-22 0

The 0
chairman 0
of 0
national 0
carrier 0
EgyptAir 0
on 0
Thursday 0
blamed 0
the 0
control 0
tower 0
at 0
Istanbul 0
airport 0
for 0
the 0
EgyptAir 0
plane 0
accident 0
. 0

Twenty 0
people 0
were 0
injured 0
on 0
Wednesday 0
when 0
the 0
EgyptAir 0
Boeing 0
707 0
overshot 0
the 0
runway 0
caught 0
fire 0
hit 0
a 0
taxi 0
and 0
skipped 0
across 0
a 0
road 0
onto 0
a 0
railway 0
line 0
. 0

Chairman 0
Mohamed I-PER
Fahim I-PER
Rayyan I-PER
told 0
a 0
news 0
conference 0
at 0
Cairo 0
airport 0
: 0
" 0
The 0
control 0
tower 0
should 0
have 0
allocated 0
the 0
plane 0
another 0
runway 0
instead 0
of 0
the 0
one 0
the 0
plane 0
landed 0
on 0
. 0
" 0

" 0
The 0
one 0
it 0
landed 0
on 0
is 0
metres 0
( 0
yards 0
) 0
long 0
while 0
the 0
other 0
one 0
if 0
more 0
than 0
metres 0
( 0
yards 0
) 0
long 0
and 0
is 0
less 0
steep 0
" 0
he 0
added 0
. 0

He 0
said 0
a 0
Turkish 0
civil 0
aviation 0
authority 0
official 0
had 0
made 0
the 0
same 0
point 0
and 0
he 0
noted 0
that 0
a 0
Turkish 0
plane 0
had 0
a 0
similar 0
accident 0
there 0
in 0
1994 0
. 0

The 0
EgyptAir 0
pilot 0
blamed 0
Turkish 0
airport 0
staff 0
for 0
misleading 0
him 0
. 0

The 0
landing 0
took 0
place 0
after 0
a 0
rainstorm 0
. 0

" 0
Its 0
not 0
an 0
accident 0
. 0

It 0
's 0
very 0
wet 0
. 0

The 0
brake 0
action 0
is 0
very 0
poor 0
and 0
the 0
tower 0
said 0
it 0
's 0
medium 0
. 0

That 0
's 0
wrong 0
" 0
the 0
pilot 0
told 0
private 0
Ihlas 0
news 0
agency 0
in 0
English 0
. 0

Egypt 0
wants 0
nothing 0
to 0
do 0
with 0
Sudanese 0
rulers 0
. 0

CAIRO 0
1996-08-22 0

The 0
Egyptian 0
government 0
will 0
have 0
nothing 0
more 0
to 0
do 0
with 0
the 0
Sudanese 0
government 0
because 0
it 0
continues 0
to 0
shelter 0
and 0
support 0
Egyptian 0
militants 0
President 0
Hosni I-PER
Mubarak I-PER
said 0
in 0
a 0
speech 0
on 0
Thursday 0
. 0

Egypt 0
says 0
the 0
Sudanese 0
government 0
helped 0
the 0
Moslem 0
militants 0
who 0
tried 0
to 0
kill 0
Mubarak I-PER
in 0
Addis 0
Ababa 0
last 0
year 0
. 0

It 0
sponsored 0
last 0
week 0
's 0
U.N. 0
Security 0
Council 0
resolution 0
threatening 0
a 0
ban 0
on 0
Sudanese 0
flights 0
abroad 0
if 0
Khartoum 0
does 0
not 0
hand 0
over 0
three 0
men 0
accused 0
in 0
the 0
Addis 0
Ababa 0
incident 0
. 0

The 0
sanctions 0
will 0
come 0
into 0
effect 0
in 0
November 0
if 0
Sudan 0
fails 0
to 0
extradite 0
the 0
men 0
but 0
Sudan 0
says 0
it 0
cannot 0
hand 0
them 0
over 0
to 0
Ethiopia 0
for 0
trial 0
because 0
they 0
are 0
not 0
in 0
Sudan 0
. 0

" 0
We 0
are 0
still 0
eager 0
that 0
nothing 0
should 0
affect 0
the 0
Sudanese 0
people 0
but 0
we 0
will 0
not 0
deal 0
with 0
the 0
current 0
regime 0
or 0
the 0
Turabi I-PER
front 0
or 0
whatever 0
" 0
Mubarak I-PER
told 0
a 0
group 0
of 0
academics 0
. 0

Hassan I-PER
al-Turabi I-PER
is 0
the 0
leader 0
of 0
the 0
National 0
Islamic 0
Front 0
the 0
political 0
force 0
behind 0
the 0
Sudanese 0
government 0
. 0

" 0
I 0
do 0
n't 0
want 0
to 0
go 0
into 0
more 0
details 0
than 0
that 0
but 0
there 0
are 0
more 0
details 0
and 0
they 0
are 0
bitter 0
. 0

There 0
are 0
terrorists 0
they 0
are 0
sheltering 0
and 0
they 0
make 0
Sudanese 0
passorts 0
for 0
them 0
and 0
they 0
get 0
paid 0
by 0
them 0
" 0
Mubarak I-PER
said 0
. 0

He 0
did 0
not 0
say 0
if 0
Egypt 0
would 0
go 0
so 0
far 0
as 0
to 0
break 0
relations 0
a 0
step 0
it 0
has 0
been 0
reluctant 0
to 0
take 0
ostensibly 0
because 0
it 0
would 0
affect 0
ordinary 0
Sudanese 0
. 0

Turkish 0
shares 0
shed 0
gains 0
in 0
profit-taking 0
. 0

ISTANBUL 0
1996-08-22 0

Turkish 0
shares 0
ended 0
lower 0
on 0
Thursday 0
shedding 0
gains 0
of 0
earlier 0
in 0
the 0
week 0
amid 0
profit-taking 0
sales 0
brokers 0
said 0
. 0

The 0
IMKB-100 0
lost 0
0.19 0
percent 0
or 0
123.89 0
points 0
to 0
end 0
at 0
. 0

Gains 0
so 0
far 0
this 0
week 0
have 0
totalled 0
2.92 0
percent 0
. 0

Daily 0
volume 0
dropped 0
to 0
7.2 0
trillion 0
lira 0
from 0
Wednesday 0
's 0
7.8 0
trillion 0
lira 0
. 0

" 0
Profit-taking 0
sales 0
in 0
the 0
afternoon 0
showed 0
the 0
latest 0
gains 0
of 0
the 0
index 0
were 0
actually 0
a 0
reaction 0
rise 0
. 0

I 0
expect 0
the 0
market 0
to 0
go 0
as 0
far 0
down 0
as 0
tomorrow 0
if 0
sales 0
continue 0
" 0
said 0
Burcin I-PER
Mavituna I-PER
from 0
Interbank 0
. 0

Brokers 0
said 0
profit 0
taking 0
sales 0
had 0
come 0
especially 0
as 0
the 0
index 0
approached 0
the 0
resistance 0
level 0
. 0

They 0
said 0
the 0
index 0
could 0
also 0
rise 0
towards 0
if 0
the 0
cheap 0
share 0
prices 0
attracted 0
buyers 0
. 0

The 0
market 0
had 0
its 0
first 0
resistance 0
at 0
if 0
it 0
pierced 0
they 0
added 0
. 0

The 0
session 0
's 0
most 0
active 0
shares 0
were 0
those 0
of 0
Isbank 0
gained 0
300 0
lira 0
to 0
. 0

Shares 0
of 0
utility 0
Cukurova 0
lost 0
lira 0
to 0
. 0

The 0
85-share 0
industrial 0
index 0
lost 0
0.47 0
percent 0
to 0
and 0
the 0
15-share 0
financial 0
index 0
rose 0
by 0
0.55 0
percent 0
to 0
. 0

Of 0
the 0
218 0
shares 0
traded 0
gainers 0
outdid 0
losers 0
by 0
100 0
to 0
64 0
and 0
54 0
shares 0
were 0
stable 0
. 0

-- 0
Istanbul 0
Newsroom 0
+90-212-275 0
0875 0
SA 0

Miss 0
Universe 0
hides 0
behind 0
veil 0
of 0
silence 0
. 0

Kieran I-PER
Murray I-PER

LAS 0
CRUCES 0
N.M. 0
1996-08-22 0

Miss 0
Universe 0
Venezuela 0
's 0
Alicia I-PER
Machado I-PER
left 0
New 0
Mexico 0
on 0
Thursday 0
refusing 0
to 0
answer 0
questions 0
about 0
her 0
weight 0
or 0
claims 0
she 0
was 0
told 0
to 0
either 0
go 0
on 0
a 0
crash 0
diet 0
or 0
give 0
up 0
her 0
title 0
. 0

Machado I-PER
19 0
flew 0
to 0
Los 0
Angeles 0
after 0
slipping 0
away 0
from 0
the 0
New 0
Mexico 0
desert 0
town 0
of 0
Las 0
Cruces 0
where 0
she 0
attended 0
the 0
1996 0
Miss 0
Teen 0
USA 0
pageant 0
on 0
Wednesday 0
. 0

While 0
Machado I-PER
was 0
not 0
a 0
contestant 0
here 0
she 0
came 0
under 0
intense 0
scrutiny 0
following 0
reports 0
she 0
was 0
given 0
an 0
ultimatum 0
by 0
Los 0
Angeles-based 0
Miss 0
Universe 0
Inc. 0
to 0
drop 0
27 0
pounds 0
( 0
12 0
kg 0
) 0
in 0
two 0
weeks 0
or 0
risk 0
losing 0
her 0
crown 0
. 0

In 0
Venezuela 0
her 0
mother 0
told 0
Reuters 0
that 0
Machado I-PER
had 0
a 0
swollen 0
face 0
when 0
she 0
left 0
home 0
two 0
weeks 0
ago 0
because 0
she 0
had 0
her 0
wisdom 0
teeth 0
extracted 0
. 0

Marta I-PER
Fajardo I-PER
insisted 0
her 0
daughter 0
who 0
weighed 0
112 0
pounds 0
( 0
51 0
kg 0
) 0
when 0
she 0
won 0
the 0
Miss 0
Universe 0
title 0
in 0
Las 0
Vegas 0
in 0
May 0
had 0
perfectly 0
normal 0
eating 0
habits 0
. 0

" 0
Everybody 0
has 0
their 0
own 0
addiction 0
to 0
something 0
or 0
other 0
but 0
it 0
's 0
not 0
as 0
if 0
she 0
eats 0
cakes 0
like 0
crazy 0
" 0
she 0
said 0
. 0

Organisers 0
flatly 0
denied 0
ever 0
threatening 0
Machado I-PER
but 0
immediately 0
put 0
her 0
under 0
wraps 0
and 0
blocked 0
access 0
to 0
her 0
. 0

Dressed 0
in 0
a 0
black 0
strapless 0
evening 0
gown 0
at 0
Wednesday 0
's 0
pageant 0
Machado I-PER
was 0
clearly 0
heavier 0
than 0
the 0
contestants 0
but 0
still 0
won 0
rave 0
reviews 0
after 0
her 0
brief 0
appearance 0
on 0
stage 0
. 0

" 0
Are 0
you 0
kidding 0
? 0

She 0
's 0
fantastic 0
" 0
said 0
Nikki I-PER
Campbell I-PER
28 0
who 0
went 0
to 0
the 0
pageant 0
. 0
" 0

She 0
looked 0
great 0
. 0

Very 0
sexy 0
. 0
" 0

Machado I-PER
's 0
publicists 0
said 0
on 0
Thursday 0
she 0
was 0
scheduled 0
to 0
stay 0
in 0
Los 0
Angeles 0
for 0
promotional 0
work 0
with 0
sponsors 0
before 0
returning 0
to 0
Venezuela 0
on 0
Sept 0
. 0

5 0
. 0

Beauty 0
queens 0
are 0
high-profile 0
personalities 0
in 0
Venezuela 0
and 0
Machado I-PER
's 0
alleged 0
weight 0
problem 0
made 0
front 0
page 0
news 0
this 0
week 0
. 0

It 0
was 0
an 0
official 0
of 0
the 0
Miss 0
Venezuela 0
Organisation 0
who 0
first 0
said 0
Machado I-PER
had 0
been 0
told 0
to 0
lose 0
weight 0
fast 0
. 0

People 0
close 0
to 0
her 0
said 0
she 0
then 0
eased 0
up 0
on 0
her 0
diet 0
and 0
indulged 0
her 0
passion 0
for 0
pasta 0
and 0
cake 0
but 0
it 0
was 0
not 0
clear 0
how 0
many 0
pounds 0
she 0
gained 0
and 0
most 0
people 0
who 0
saw 0
her 0
said 0
she 0
was 0
still 0
a 0
long 0
way 0
from 0
being 0
fat 0
. 0

Martin I-PER
Brooks I-PER
president 0
of 0
Miss 0
Universe 0
Inc 0
said 0
he 0
spoke 0
with 0
Machado I-PER
to 0
assure 0
her 0
that 0
organisers 0
were 0
not 0
putting 0
pressure 0
on 0
her 0
. 0

" 0
She 0
's 0
fine 0
with 0
it 0
. 0

She 0
wished 0
as 0
we 0
all 0
did 0
that 0
it 0
had 0
n't 0
happened 0
but 0
she 0
's 0
spiritually 0
and 0
mentally 0
terrific 0
. 0

There 0
's 0
no 0
problem 0
whatsoever 0
" 0
he 0
told 0
Reuters 0
. 0

He 0
said 0
the 0
lifestyle 0
associated 0
with 0
being 0
Miss 0
Universe 0
could 0
make 0
routine 0
exercise 0
difficult 0
. 0

" 0
The 0
problem 0
is 0
they 0
travel 0
so 0
much 0
and 0
are 0
so 0
busy 0
that 0
the 0
ability 0
to 0
have 0
any 0
type 0
of 0
regimented 0
routine 0
workout 0
does 0
n't 0
exist 0
. 0

I 0
dont 0
know 0
if 0
Alicia I-PER
is 0
working 0
out 0
. 0

We 0
have 0
n't 0
talked 0
about 0
it 0
because 0
it 0
has 0
n't 0
been 0
an 0
issue 0
" 0
he 0
said 0
. 0

Kevorkian I-PER
attends 0
third 0
suicide 0
in 0
week 0
. 0

PONTIAC 0
Mich 0
. 0

1996-08-22 0

Dr. 0
Jack I-PER
Kevorkian I-PER
attended 0
his 0
third 0
suicide 0
in 0
less 0
than 0
a 0
week 0
on 0
Thursday 0
bringing 0
the 0
body 0
of 0
a 0
40-year-old 0
Missouri 0
woman 0
suffering 0
from 0
multiple 0
sclerosis 0
to 0
a 0
hospital 0
emergency 0
room 0
doctors 0
said 0
. 0

Dr 0
Robert I-PER
Aranosian I-PER
emergency 0
room 0
director 0
at 0
Pontiac 0
Osteopathic 0
Hospital 0
said 0
Kevorkian I-PER
brought 0
in 0
the 0
body 0
of 0
Patricia I-PER
Smith I-PER
of 0
Lees 0
Summit 0
Mo 0
. 0

at 0
midday 0
and 0
told 0
doctors 0
that 0
she 0
had 0
been 0
paralysed 0
by 0
the 0
disease 0
. 0

It 0
was 0
his 0
second 0
assisted-suicide 0
in 0
36 0
hours 0
and 0
the 0
37th 0
that 0
he 0
has 0
acknowledged 0
attending 0
since 0
starting 0
his 0
crusade 0
for 0
doctor 0
assisted 0
suicide 0
in 0
1990 0
. 0

Kevorkian I-PER
's 0
lawyer 0
Geoffrey I-PER
Fieger I-PER
said 0
those 0
attending 0
Smith I-PER
's 0
death 0
included 0
her 0
husband 0
David I-PER
a 0
police 0
officer 0
her 0
father 0
James I-PER
Poland I-PER
and 0
Kevorkian I-PER
. 0

It 0
was 0
the 0
first 0
known 0
time 0
that 0
a 0
police 0
officer 0
has 0
been 0
president 0
at 0
the 0
suicide 0
of 0
one 0
of 0
Kevorkian I-PER
's 0
patients 0
. 0

He 0
offered 0
no 0
details 0
about 0
the 0
cause 0
of 0
Smith I-PER
's 0
death 0
or 0
the 0
location 0
. 0

She 0
was 0
a 0
nurse 0
who 0
had 0
" 0
rapidly 0
progressing 0
multple 0
sclerosis 0
. 0
" 0

On 0
Tuesday 0
night 0
Kevorkian I-PER
attended 0
the 0
death 0
of 0
Louise I-PER
Siebens I-PER
a 0
76-year-old 0
Texas 0
woman 0
with 0
amyotrophic 0
lateral 0
sclerosis 0
or 0
Lou I-PER
Gehrig I-PER
's 0
disease 0
. 0

On 0
August 0
15 0
Kevorkian I-PER
helped 0
Judith I-PER
Curren I-PER
a 0
42-year-old 0
Massachusetts 0
nurse 0
who 0
suffered 0
from 0
chronic 0
fatigue 0
syndrome 0
a 0
non-terminal 0
illness 0
to 0
end 0
her 0
life 0
. 0

Fairview 0
Texas 0
$ 0
1.82 0
million 0
deal 0
Baa1 0
- 0
Moody 0
's 0
. 0

NEW 0
YORK 0
1996-08-22 0

Moody 0
's 0
Investors 0
Service 0
- 0

Rating 0
Announcement 0
As 0
of 0
08/21/96 0
. 0

Issuer 0
: 0
Fairview 0
Town 0

State 0
: 0
TX 0

Rating 0
